"işletme adı","instagram kullanıcı adı","telefon numarası","mail adresi","websitesi"
"SAPANCA KONAKLAMABLACK WHİTE BUNGALOW SAPANCA","sapancaakonaklama","05321586885","",""
"GAGA BUNGALOV SAPANCA","@gagabungalov","+905313537611","",""
"BALİ SAPANCA","@balisapanca_","+905302714854","",""
"SARDUNYA BUNGALOV","sardunyabungalov","05457729062","",""
"SAPANCA WELLNESS HOME","@sapancawellneshome","+905332691254","",""
"ZİRVE BUNGALOV  UZUNKUM ZİRVE BUNGALOV","sapancazirvebungalow","05314877301","",""
"YODA BUNGALOV","@bungalowyoda","+905074373754","",""
"SAPANCA IŞILTI BUNGALOV","@sapancaisiltibungalov","+905326037717","",""
"NATURAL SELECTİON SAPANCA","naturalselectionsapanca","05326478554","",""
"SAPANCA ZİALAND","sapancazialand","05326568094","",""
"MRV HİLL SAPANCA","mrvhillsapanca","05443545478","",""
"SAPANCA ÇAMLIK BUNGALOV","@camlikbungalovsapanca","","",""
"RENKLİ EVLER  SAPANCA PREMİUM","renklievler.sapanca","05323655496","",""
"SAPANCA TENDA BUNGALOV","@sapancatendabungalov","+905326944551","",""
"SAPANCA GREEN GARDEN BUNGALOV","@greengardenbungalov","","",""
"YILDIZ BUNGALOV SAPANCA","@yldzbungalovsapancaa","+905380146029","",""
"YANIK LİFE BUNGALOV","yaniklifebungalow","05334541684","",""
"EMİL'S HOUSES","emilshouses","05336360850","",""
"VOLAR SAPANCA BUNGALOV","@volarsapanca","+905392053337","",""
"MAVİ BONCUK SERENİTY BUNGALOW","maviboncukserenitybungalow","05323965758","",""
"ACARZADE BUNGALOV","@acarzadebungalov","+905373347167","",""
"SAPANCA LUSH BUNGALOV","@lushsapanca","+905405045454","",""
"VALİOSO SAPANCA","valiososapanca","05322608017","",""
"CHAVSLA BUNGALOV","@bungalovbaba","+905459551986","",""
"ZENA SAPANCA HOTEL","@zenasapanca","+905373010623","",""
"DREAMLAND DELUXE SAPANCA","@dreamlandsuitessapanca","+905322441326","",""
"ATMOSFER DAĞ EVİ","@atmosferdagevisapanca","+905417829572","",""
"BLOOM HİLL BUNGALOV SAPANCA","bloomhillbungalov","05376048928","",""
"SAPANCA SİRİUS NİGHT BUNGALOW","sapancasiriusbungalow","05334935954","",""
"BUMERANG BUNGALOV","@bumerangbungalov","+905309454121","",""
"SWİSS HAUS SAPANCA","swisshaussapanca","05324634748","",""
"SAPANCA DUKO","@sapancaduko","+905304293454","",""
"BONS HOUSE","@_bonshouse","+905316848793","",""
"SAPANCA HAYAL BUNGALOW","@sapancahayalbungalow","+905316775021","",""
"Kalimeras Deluxe Hotel","kalimerasdeluxe","05373620779","",""
"CASA VERA VİLLA","casaveravilla","05525114840","",""
"SAPANCA DEREKÖŞK BUNGALOV","sapancaderekoskbungalov","05324088654","",""
"SAPANCA THE AZURE","@sapancatheazure","+905303223454","",""
"STB GOLDEN HOUSE","@oktaygoldenhouse","+905304674543","",""
"LAMASİA SUİTES BUNGALOV","lamasiasapanca","05304014101","",""
"GÜLÜM BUNGALOV","gulumbungalov","05397850066","",""
"VADİ BUNGALOV SAPANCA","@vadibungalovsapanca","+905524268481","",""
"MFS VİLLA & BUNGALOV","sapancamfsvillabungalov","05400858997","",""
"SAPANCA ELZA GÖLEVİ","sapancaelzagolevi","05528536460","",""
"BUNGAVİLLAS","bungavillassapanca","05398567555","",""
"SAPANCA SELİSA BUNGALOW","sapancaselisabungalov","03588628723","",""
"SAPANCA KARACA BUNGALOV","@sapancakaracabungalov","+905332982154","",""
"DOĞADA VİEW","dogadaview","05066068455","",""
